t,particle,x,y,vx,vy,speed
17.619999999999713,3,0.5271238454009671,0.8589624446031835,-0.8842169520984977,-0.7385682432630506,1.1520949042223152
17.619999999999713,4,0.8101235256226158,0.7159356608455184,-1.4403418689318372,-0.9486768519529803,1.7246948915183449
17.639999999999713,1,0.6164688487135523,0.48894184212660635,0.25015846946637255,-0.027341420247415038,0.2516481931326029
17.639999999999713,2,0.3905919511212015,0.5473510752041177,0.20288027676752485,0.4996639702946224,0.5392814570443274
17.639999999999713,3,0.5094395063589972,0.8441910797379225,-0.8842169520984977,-0.7385682432630506,1.1520949042223152
17.639999999999713,4,0.781316688243979,0.6969621238064588,-1.4403418689318372,-0.9486768519529803,1.7246948915183449
17.659999999999712,1,0.6214720181028798,0.48839501372165806,0.25015846946637255,-0.027341420247415038,0.2516481931326029
17.659999999999712,2,0.394649556656552,0.5573443546100102,0.20288027676752485,0.4996639702946224,0.5392814570443274
17.659999999999712,3,0.4917551673170272,0.8294197148726615,-0.8842169520984977,-0.7385682432630506,1.1520949042223152
17.659999999999712,4,0.7525098508653423,0.6779885867673993,-1.4403418689318372,-0.9486768519529803,1.7246948915183449
17.679999999999712,1,0.6264751874922072,0.48784818531670976,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.679999999999712,2,0.3987071621919025,0.5673376340159026,0.20288027676752485,0.4996639702946224,0.5392814570443274
17.679999999999712,3,0.4740708282750572,0.8146483500074005,-0.8842169520984977,-0.7385682432630506,1.1520949042223152
17.679999999999712,4,0.7237030134867055,0.6590150497283397,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.69999999999971,1,0.6153169802323591,0.45884970598447195,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.69999999999971,2,0.402764767727253,0.5773309134217951,0.20288027676752485,0.4996639702946224,0.5392814570443274
17.69999999999971,3,0.4563864892330872,0.7998769851421396,-0.8842169520984977,-0.7385682432630506,1.1520949042223152
17.69999999999971,4,0.7110575527572442,0.6684931636165696,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.71999999999971,1,0.6041587729725111,0.42985122665223413,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.71999999999971,2,0.4068223732626035,0.5873241928276876,0.20288027676752485,0.4996639702946224,0.5392814570443274
17.71999999999971,3,0.43870215019111725,0.7851056202768786,-0.8842169520984977,-0.7385682432630506,1.1520949042223152
17.71999999999971,4,0.698412092027783,0.6779712775047996,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.73999999999971,1,0.593000565712663,0.4008527473199963,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.73999999999971,2,0.410879978797954,0.59731747223358,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.73999999999971,3,0.42101781114914727,0.7703342554116176,-0.8081920210171574,0.5589072486725893,0.9826248803356045
17.73999999999971,4,0.6857666312983217,0.6874493913930295,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.75999999999971,1,0.581842358452815,0.3718542679877585,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.75999999999971,2,0.4134170857116777,0.5813612418007597,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.75999999999971,3,0.40485397072880414,0.7815124003850694,-0.8081920210171574,0.5589072486725893,0.9826248803356045
17.75999999999971,4,0.6731211705688604,0.6969275052812595,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.77999999999971,1,0.5706841511929669,0.3428557886555207,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.77999999999971,2,0.41595419262540134,0.5654050113679393,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.77999999999971,3,0.388690130308461,0.7926905453585212,-0.8081920210171574,0.5589072486725893,0.9826248803356045
17.77999999999971,4,0.6604757098393992,0.7064056191694894,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.79999999999971,1,0.5595259439331188,0.3138573093232829,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.79999999999971,2,0.418491299539125,0.549448780935119,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.79999999999971,3,0.37252628988811787,0.8038686903319731,-0.8081920210171574,0.5589072486725893,0.9826248803356045
17.79999999999971,4,0.6478302491099379,0.7158837330577194,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.81999999999971,1,0.5483677366732708,0.28485882999104506,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.81999999999971,2,0.42102840645284867,0.5334925505022986,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.81999999999971,3,0.35636244946777473,0.8150468353054249,-0.8081920210171574,0.5589072486725893,0.9826248803356045
17.81999999999971,4,0.6351847883804767,0.7253618469459493,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.83999999999971,1,0.5372095294134227,0.25586035065880725,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.83999999999971,2,0.42356551336657233,0.5175363200694783,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.83999999999971,3,0.3401986090474316,0.8262249802788767,-0.8081920210171574,0.5589072486725893,0.9826248803356045
17.83999999999971,4,0.6225393276510154,0.7348399608341792,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.859999999999708,1,0.5260513221535746,0.22686187132656943,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.859999999999708,2,0.426102620280296,0.5015800896366579,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.859999999999708,3,0.32403476862708847,0.8374031252523285,-0.8081920210171574,0.5589072486725893,0.9826248803356045
17.859999999999708,4,0.6098938669215541,0.7443180747224092,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.879999999999708,1,0.5148931148937266,0.19786339199433162,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.879999999999708,2,0.42863972719401966,0.48562385920383755,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.879999999999708,3,0.30787092820674533,0.8485812702257803,-0.8081920210171574,0.5589072486725893,0.9826248803356045
17.879999999999708,4,0.5972484061920929,0.7537961886106391,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.899999999999707,1,0.5037349076338785,0.1688649126620938,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.899999999999707,2,0.4311768341077433,0.4696676287710172,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.899999999999707,3,0.2917070877864022,0.8597594151992322,-0.8081920210171574,0.5589072486725893,0.9826248803356045
17.899999999999707,4,0.5846029454626316,0.7632743024988691,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.919999999999707,1,0.49257670037403045,0.139866433329856,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.919999999999707,2,0.433713941021467,0.45371139833819685,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.919999999999707,3,0.27554324736605906,0.870937560172684,-0.8081920210171574,0.5589072486725893,0.9826248803356045
17.919999999999707,4,0.5719574847331703,0.772752416387099,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.939999999999706,1,0.4814184931141824,0.11086795399761819,-0.557910362992404,-1.4499239666118902,1.553558329155965
17.939999999999706,2,0.43625104793519065,0.4377551679053765,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.939999999999706,3,0.25937940694571593,0.8821157051461358,-0.8081920210171574,0.5589072486725893,0.9826248803356045
17.939999999999706,4,0.559312024003709,0.782230530275329,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.959999999999706,1,0.4702602858543343,0.08186947466538039,-0.557910362992404,1.4499239666118902,1.553558329155965
17.959999999999706,2,0.4387881548489143,0.42179893747255615,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.959999999999706,3,0.2432155665253728,0.8932938501195876,-0.8081920210171574,0.5589072486725893,0.9826248803356045
17.959999999999706,4,0.5466665632742478,0.7917086441635589,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.979999999999706,1,0.45910207859448626,0.11086795399761819,-0.557910362992404,1.4499239666118902,1.553558329155965
17.979999999999706,2,0.441325261762638,0.4058427070397358,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.979999999999706,3,0.22705172610502966,0.9044719950930394,-0.8081920210171574,-0.5589072486725893,0.9826248803356045
17.979999999999706,4,0.5340211025447865,0.8011867580517888,-0.6322730364730607,0.47390569441149466,0.7901618820510803
17.999999999999705,1,0.4479438713346382,0.139866433329856,-0.557910362992404,1.4499239666118902,1.553558329155965
17.999999999999705,2,0.44386236867636164,0.38988647660691544,0.1268553456861845,-0.7978115216410175,0.8078338336516473
17.999999999999705,3,0.21088788568468653,0.8932938501195876,-0.8081920210171574,-0.5589072486725893,0.9826248803356045
17.999999999999705,4,0.5213756418153253,0.8106648719400188,-0.6322730364730607,0.47390569441149466,0.7901618820510803
18.019999999999705,1,0.43678566407479014,0.1688649126620938,-0.557910362992404,1.4499239666118902,1.553558329155965
18.019999999999705,2,0.4463994755900853,0.3739302461740951,0.1268553456861845,-0.7978115216410175,0.8078338336516473
18.019999999999705,3,0.1947240452643434,0.8821157051461358,-0.8081920210171574,-0.5589072486725893,0.9826248803356045
